,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
2014-09-30,1.3612157899439972e-09,6.626846223310443e-09,0.3549623741758561,7.169866795075127e-10,0.27396176911855563,5.954904893620138e-10,0.15368428562252365,1.5498687898284437e-09,6.173049630119392e-10,6.1444242999573e-10,1.554027822358222e-09,1.0680201231603011e-09,1.0223165827205285e-09,8.791953252682758e-09,2.1584135987444007e-09,3.255032390361322e-09,6.572907022216396e-09,0.09180212858466205,2.147068822235094e-09,1.6443428944546925e-09,0.12558940220209888
2014-11-28,3.0048610286274255e-10,4.5946845054519147e-10,0.4343372105756195,3.6413403654334795e-10,0.22842851765486513,3.908132857090551e-10,0.1655053028274909,2.185792462730892e-10,1.3980948315926977e-10,3.299721995172261e-10,2.4851943765302703e-10,2.171813713299234e-10,2.3533763348277534e-10,0.0006255967994813907,3.421518727698671e-10,1.1696991492370185e-09,7.310700743505602e-10,0.04116765329117459,4.110546416617753e-10,4.581486273760241e-10,0.1299357128349255
2015-01-30,1.1612550555315842e-10,1.5932819323196943e-10,0.43280872017653566,1.2041472114503506e-09,0.21705117798618445,2.73895762613376e-10,0.20230703505357855,1.3381494412627242e-10,8.291006695991644e-11,5.846577522443551e-10,1.1156895722038713e-10,1.3790983347175857e-10,1.2382628091599727e-10,1.3166458394522994e-09,1.3212870896444456e-10,2.5983623443218237e-10,2.394188580049794e-10,0.000937903114771103,2.1806870023294347e-10,2.4506311570894037e-10,0.1468951583296083
2015-03-31,3.81800325758603e-10,5.12653899089361e-10,0.394576926942775,0.026309390143820388,0.2240323110408592,4.2746261364213997e-10,0.024264069911312205,3.2598275425806993e-10,2.3531403160009647e-10,1.6126712851179514e-09,3.455501142035989e-10,4.019586765029434e-10,2.5285817790734684e-10,1.980897111928865e-09,4.542572869047256e-10,8.438206426524923e-10,5.340757689438564e-10,0.12116038204106822,4.0843518435639196e-10,5.08854032396353e-10,0.20965691069362996
2015-05-29,7.052686875575266e-11,1.3053133435311417e-10,0.2961312608984528,1.7220870567321727e-10,0.24110613016735538,4.5647106100366e-11,0.02657522356253858,5.5917884500204723e-11,3.539176980863067e-11,7.430489381285646e-11,5.486310222144872e-11,5.589922815864931e-11,4.2199043572918796e-11,2.155273451300712e-10,9.114322392258496e-11,1.200049882032088e-10,4.575056133805313e-10,0.2466246299958524,5.541155328586473e-11,6.596447681872346e-11,0.18956275363278785
2015-07-31,5.597676468097008e-11,1.452172281265014e-10,0.21714156601603093,1.219718485038771e-10,0.20671623514346393,2.8191706087845092e-11,7.10747560478323e-11,2.191514168909044e-11,2.061223620439015e-11,2.9746620299684e-11,2.586418429756045e-11,3.8208656182229856e-11,2.862817253665866e-11,1.2055102916413502e-10,3.080574467014051e-11,7.428415896375564e-11,0.075870433876468,0.38114731911347505,2.5722688649412407e-11,3.306940902016208e-11,0.1191244449787232
2015-09-30,3.692043112337479e-10,0.05585405072429191,0.2891312372016168,0.007761111984201807,0.170020760114622,2.4973424231492214e-09,9.201703155990919e-10,1.6977481500419447e-10,1.956029905626561e-10,4.707783285329455e-10,2.2327945962320812e-10,3.551992660700757e-10,3.834112413208233e-10,0.04061277276184323,2.719015497254788e-10,1.297243087686969e-09,0.06914831888673169,0.20852701030990067,2.325117101862646e-10,2.7128169607751123e-10,0.1589447303590766
2015-11-30,3.8233017679853836e-11,0.02712770970807752,0.34651920902629996,1.4849431825751383e-10,0.15959300157053535,0.01932073834813086,8.580374435000526e-11,2.0066285599122804e-11,2.5209153153466103e-11,3.7565422894752176e-11,2.6818490167027125e-11,3.509772253744294e-11,7.269342273089693e-11,0.05717085758290626,2.6474436033773327e-11,9.918391085088715e-11,0.057344622600585524,0.1743995882688561,2.7635771634875097e-11,3.001406289344354e-11,0.15852427222134066
2016-01-29,4.149490083774345e-10,0.09427009070785419,0.3893732259512787,2.822112218766357e-10,0.07693927078743262,0.0066275786769247926,5.556012832561823e-10,1.9059769319867818e-10,3.9854038766242174e-10,2.9416209334066677e-10,2.496266892142281e-10,2.3021070754205513e-10,6.689734580089962e-10,0.013531057890794807,2.7017235951611017e-10,6.833142922307e-10,0.12784754281828825,0.12444771588970607,3.38358530610349e-10,5.128415399964668e-10,0.16696351218816174
2016-03-31,2.302363956821097e-10,0.0740725870411965,0.4859325502878583,1.9353316796156846e-10,0.023712138429476337,2.9990341404787425e-10,1.7816410603403338e-10,4.8030051560429475e-11,3.7895306694472563e-10,8.613366532260516e-11,8.060831981398981e-11,5.956136220368945e-11,1.4683879394104567e-10,2.353569110851892e-10,7.044949182930988e-11,0.06917820096999504,0.13677424302966792,3.902462690960206e-10,1.2123768254623588e-10,2.7051886580638924e-10,0.21033027745203375
