,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
KO,0.0006423121704757431,-3.519445730940183e-05,0.0011350352296901408,0.0005345296258763695,0.0007904959009843503,0.00041951796925352087,0.0004410793497848197,0.0009831425659765258,0.0005897377115258216,0.0007420521347558687,0.0022197638547636926,0.0006941486663145537,1.3913231348982788e-05,0.0005566731585790297,0.0003584677571815336,0.0005195325605555556,0.0005858031627683882,0.0005795247277902973,0.0005507257629718306,0.00011682591469014087,-2.583127772143971e-05
XOM,0.0015538493848278564,-0.0003901646282440167,0.0005303473780066511,0.0011035578270258213,0.0020989881347740604,0.0002615467985271909,-7.553965455134972e-05,0.0023329035783534813,0.0006663235759356414,0.0007382270472742568,0.0006941486663145537,0.002841473428564749,0.0006091453706154145,0.0006176460645379503,0.001351954941592136,0.00028150952647867765,0.0011009298198937799,0.0010790746291811427,0.00025361746179949137,-9.560072368936227e-06,-0.00034582522627836444
GE,0.0016875622123114246,0.00042834998845085476,0.0003214613492292644,0.0013810470315884199,0.0001991454366459311,0.0005148313713900624,0.0002559689619235135,0.00022906776415062606,0.0020498479148360715,0.001454457467121284,1.3913231348982788e-05,0.0006091453706154145,0.002830460549520343,0.001990632042374806,0.002199614055775039,0.0006162865934135367,0.001260327362270344,0.00020793710919640073,9.218230314945223e-06,0.0005317378038161189,-0.00028418564702073544
INTC,0.0027055071918841963,0.0028566724314739314,0.0017884989747785586,0.0021717817990297332,0.0049535730703759795,0.0010734366033971054,0.0005751673667979267,0.00030040063028442874,0.0064570389418008595,0.002874338256050862,0.0005566731585790297,0.0006176460645379503,0.001990632042374806,0.010701733287201094,0.00423023019539241,0.000966610937570814,0.0021116815297609537,0.0008483094689100152,2.2124946293818617e-05,0.0010075602786752734,-0.00077639977683529
IBM,0.0035196981766165876,0.00020047308836623978,0.0012953287119659626,0.0023583982216674503,0.002379749116910994,0.0009000518443902587,0.0006066971197299496,0.001053056967887911,0.00399521849204284,0.003231189605538734,0.0003584677571815336,0.001351954941592136,0.002199614055775039,0.00423023019539241,0.006038690570541274,0.001022437823265062,0.0029259783274626357,0.0008391080568571987,0.00011248602023532861,0.0011778674056701884,-0.0006467787779661579
JNJ,0.0004779712626306731,9.837195115385753e-07,0.00033385218533372465,0.0004536384934780906,0.0003300686211465177,0.00044382441315473384,0.00035775060506758593,4.897010319698745e-05,-6.76702995260172e-05,0.0008453021079581376,0.0005195325605555556,0.00028150952647867765,0.0006162865934135367,0.000966610937570814,0.001022437823265062,0.0016023444236852504,0.0003889694552850157,0.00032555185344874797,0.0005232744236711658,0.00027296089377973397,-0.00016564503387930354
MSFT,0.0024366166313442863,0.0024654952642602563,-4.176224609154792e-06,0.0015448766864514867,0.0019279189514872848,0.0004041434932975352,0.00041594595763194426,0.0007153725952318073,0.0024851834442036376,0.0017333366130762916,0.0005858031627683882,0.0011009298198937799,0.001260327362270344,0.0021116815297609537,0.0029259783274626357,0.0003889694552850157,0.004593639201278364,0.0011173367146482783,2.143316798767609e-05,0.00086479449981338,-0.0003816598946152191
PFE,0.0013698530006071988,-0.0012228255753346166,0.0008253392330696398,0.000994761304170579,0.00036464773748865414,0.0007119040825473395,-5.511801639925685e-05,0.0008582449158149453,0.0014322800525426442,0.00120772423906025,0.0005795247277902973,0.0010790746291811427,0.00020793710919640073,0.0008483094689100152,0.0008391080568571987,0.00032555185344874797,0.0011173367146482783,0.0030074379460555563,0.0005688549571623629,2.372504393818465e-05,-7.095039298552425e-05
PG,0.000212351431456964,-0.0007442766158619657,0.00030004893680477316,0.00039482484169718325,0.00010161824396654918,8.278169979010173e-05,0.00014369540440170163,0.00018298603965864635,4.9920265874608696e-05,0.0002851496893258999,0.0005507257629718306,0.00025361746179949137,9.218230314945223e-06,2.2124946293818617e-05,0.00011248602023532861,0.0005232744236711658,2.143316798767609e-05,0.0005688549571623629,0.0012508919690342331,-0.0001602512025708137,7.319652929440538e-05
WMT,0.0006644724721940526,0.0008199220760807691,-0.0007532623659428797,0.000949457125183099,-5.814238696126779e-05,0.00011115435021322364,0.0004797960825416668,-0.00021794398450978084,0.00047308123279068796,0.0008470703956064166,0.00011682591469014087,-9.560072368936227e-06,0.0005317378038161189,0.0010075602786752734,0.0011778674056701884,0.00027296089377973397,0.00086479449981338,2.372504393818465e-05,-0.0001602512025708137,0.0023989281749913927,-0.0003167048042413926
BOND20,-0.0005690868025852896,0.00024237243073675264,0.00043654613507316083,-0.0005723945155312987,-0.0003765918586692096,-9.000594481357589e-05,8.570782935573145e-05,-0.00024433487323611116,-0.000676900477804186,-0.0005154024429925664,-2.583127772143971e-05,-0.00034582522627836444,-0.00028418564702073544,-0.00077639977683529,-0.0006467787779661579,-0.00016564503387930354,-0.0003816598946152191,-7.095039298552425e-05,7.319652929440538e-05,-0.0003167048042413926,0.0007524510694223396
